         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
8.91251e+03 4.09290e+05 4.43642e-03 9.04356e-07 6.90484e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.89215e-25 3.89215e-25 
1.00000e+04 4.79543e+05 5.04177e-03 8.04362e-07 6.44559e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 4.29383e-25 4.29383e-25 
1.12202e+04 5.61168e+05 5.72540e-03 7.15349e-07 5.99900e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 4.75753e-25 4.75753e-25 
1.25893e+04 6.55029e+05 6.49419e-03 6.36086e-07 5.56648e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 5.29200e-25 5.29200e-25 
1.41254e+04 7.62047e+05 7.35604e-03 5.65489e-07 5.14958e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 5.90774e-25 5.90774e-25 
1.58489e+04 8.83436e+05 8.32049e-03 5.02609e-07 4.74994e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 6.61780e-25 6.61780e-25 
1.77828e+04 1.02058e+06 9.39837e-03 4.46599e-07 4.36898e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.43784e-25 7.43783e-25 
1.99526e+04 1.17553e+06 1.06030e-02 3.96713e-07 4.00800e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.38763e-25 8.38763e-25 
2.23872e+04 1.35050e+06 1.19488e-02 3.52281e-07 3.66782e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.49059e-25 9.49059e-25 
2.51189e+04 1.54822e+06 1.34522e-02 3.12709e-07 3.34892e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.07753e-24 1.07753e-24 
2.81838e+04 1.77232e+06 1.51325e-02 2.77465e-07 3.05150e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.22772e-24 1.22772e-24 
3.16228e+04 2.02652e+06 1.70098e-02 2.46076e-07 2.77532e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.40383e-24 1.40383e-24 
3.54813e+04 2.31548e+06 1.91070e-02 2.18122e-07 2.51990e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.61098e-24 1.61098e-24 
3.98107e+04 2.64485e+06 2.14494e-02 1.93226e-07 2.28460e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.85550e-24 1.85550e-24 
4.46684e+04 3.02100e+06 2.40646e-02 1.71055e-07 2.06854e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.14499e-24 2.14499e-24 
5.01187e+04 3.45162e+06 2.69826e-02 1.51311e-07 1.87076e-05 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.48879e-24 2.48879e-24 
